"sku","post_title","post_excerpt","post_content","post_status","regular_price","sale_price","stock_status","stock","manage_stock","weight","Images","tax:product_type","tax:product_cat","tax:product_tag"
"CEBAT-7234","BATERIA SELLADA 12V-120AH REF. FL121200GS","","","publish","702660","","","","yes","","","simple","Batería",""
"CEBAT-7228","BATERIA SELLADA 12V-150AH REF. FL121500GS","","","publish","840455","","","","yes","","","simple","Batería",""
"CEBAT-7229","BATERIA SELLADA 12V-200AH REF. FL122000GS","","","publish","1089900","","","","yes","","","simple","Batería",""
"CEBAT-7231","BATERIA SELLADA 2V-100AH REF. FL21000SL","","","publish","97720","","","","yes","","","simple","Batería",""
"CEBAT-7236","BATERIA SELLADA 12V-100AH REF. FL121000FT","","","publish","549500","","","","yes","","","simple","Batería",""
"CEBAT-7626","BATERIA GEL CICLO PROFUNDO -12v 100Ah REF. FLS121000 DC","","","publish","674870","","","","yes","","","simple","Batería",""
"CEBAT-7628","BATERIA GEL CICLO PROFUNDO -12v 150Ah REF. FLS121500 DC","","","publish","1013880","","","","yes","","","simple","Batería",""
"CEBAT-7629","BATERIA GEL CICLO PROFUNDO -12v 200Ah REF. FLS122000 DC","","","publish","1332555","","","","yes","","","simple","Batería",""
"CEBAT-7631","BATERIA GEL CICLO PROFUNDO -12v 250Ah REF. FLS122500 DC","","","publish","1640205","","","","yes","","","simple","Batería",""
"CEBAT-7246","BATERIA ABIERTA 2V-200AH REF. OPzS 2v-200AH","","","publish","333585","","","","yes","","","simple","Batería",""
"CEBAT-7247","BATERIA ABIERTA 2V-250AH REF. OPzS 2v-250AH","","","publish","340830","","","","yes","","","simple","Batería",""
"CEBAT-7249","BATERIA ABIERTA 2V-350AH REF.OPzS 2v-350AH","","","publish","416745","","","","yes","","","simple","Batería",""
"CEBAT-7267","BATERIA ABIERTA 12V-50AH REF. OPzS 12v-50AH","","","publish","913360","","","","yes","","","simple","Batería",""
"NUHIB-7510","INVERSOR SOLAR ALL IN ONE 1KVA","","","publish","921025","","","","yes","","","simple","Inversor",""
"NUHIB-7504","INVERSOR SOLAR ALL IN ONE 3KVA ON-GRID","","","publish","1979460","","","","yes","","","simple","Inversor",""
"NUHIB-7565","INVERSOR SOLAR ALL IN ONE 6KVA ON-GRID","","","publish","3899595","","","","yes","","","simple","Inversor",""
"NUHIB-7592","INVERSOR SOLAR ALL IN ONE 12KVA ON-GRID FASE PARTIDA IP65","","","publish","8338155","","","","yes","","","simple","Inversor",""
"NERM550-8550","PANEL SOLAR MONO HC 550W REF. POWEST PANEL SOLAR MONO HC 550W","","","publish","561365","","","","yes","","","simple","Paneles solares",""
"NERM450-8450","PANEL SOLAR MONO HC PERC 450W REF. POWEST PANEL SOLAR MONO HC PERC 450W","","","publish","459305","","","","yes","","","simple","Paneles solares",""
"NERM360-8360","PANEL SOLAR MONO PERC 360W REF. POWEST PANEL SOLAR MONO PERC 360W","","","publish","358785","","","","yes","","","simple","Paneles solares",""
"NERM300-8300","PANEL SOLAR MONO PERC 300W REF. POWEST PANEL SOLAR MONO PERC 300W","","","publish","299005","","","","yes","","","simple","Paneles solares",""
"NERM160-8160","PANEL SOLAR MONO PERC 160W REF. POWEST PANEL SOLAR MONO PERC 160W","","","publish","261625","","","","yes","","","simple","Paneles solares",""
"NERM120-8120","PANEL SOLAR MONO PERC 120W REF. POWEST PANEL SOLAR MONO PERC 120W","","","publish","196210","","","","yes","","","simple","Paneles solares",""
"NERM062-8062","PANEL SOLAR 60W SET 2 UND REF. POWEST PANEL SOLAR 60W SET 2 UND","","","publish","76790","","","","yes","","","simple","Paneles solares",""
"NERM042-8042","PANEL SOLAR 40W SET 2 UND REF. POWEST PANEL SOLAR 40W SET 2 UND","","","publish","56875","","","","yes","","","simple","Paneles solares",""
"CEBAT-7574","BATERIA SOLAR 12V-100AH REF. FLS121000","","","publish","573755","","","","yes","","","simple","Batería",""
"CEBAT-7582","BATERIA SOLAR 12V-250AH REF. FLS122500","","","publish","1577905","","","","yes","","","simple","Batería",""
"CEBAT-7626","BATERIA GEL CICLO PROFUNDO -12v 100Ah REF. FLS121000 DC","","","publish","674870","","","","yes","","","simple","Batería",""
"CEBAT-7628","BATERIA GEL CICLO PROFUNDO -12v 150Ah REF. FLS121500 DC","","","publish","1013880","","","","yes","","","simple","Batería",""
"CEBAT-7629","BATERIA GEL CICLO PROFUNDO -12v 200Ah REF. FLS122000 DC","","","publish","1332555","","","","yes","","","simple","Batería",""
"CEBAT-7631","BATERIA GEL CICLO PROFUNDO -12v 250Ah REF. FLS122500 DC","","","publish","1640205","","","","yes","","","simple","Batería",""
"NERRG3000-3300","CONTROLADOR DE CARGADOR SOLAR 3KW","","","publish","555345","","","","yes","","","simple","Batería",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
