"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wpcom_is_markdown","Download 1 name","Download 1 URL","Download 2 name","Download 2 URL"
"91","simple","EC40-PSC","End Clamp 40mm - PROCET SCIENTIFIC","1","1","visible","This is a variable product.","Abrazadera de extremo de 40mm ideal para sujetar paneles solares de forma segura en instalaciones fotovoltaicas. Fabricada con materiales resistentes a la intemperie.","","","taxable","","1","","0","0","0.5","24","1","2","1","","","5000","Clothing > Tshirts","","","https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vneck-tee-2.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vnech-tee-green-1.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vnech-tee-blue-1.jpg","","","","","","","","","0","Color","Blue, Green, Red","1","1","Size","Large, Medium, Small","1","1","1","","","",""
"92","simple","EC35-PSC","End Clamp 35mm - PROCET SCIENTIFIC","","","","","Abrazadera de extremo de 35mm ideal para sujetar paneles solares de forma segura en instalaciones fotovoltaicas. Fabricada con materiales resistentes a la intemperie.","","","","","","","","","","","","","","","","5100","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","simple","IC40-PSC","Inter Clamp 40mm - PROCET SCIENTIFIC","","","","","Abrazadera intermedia de 40mm para paneles solares, proporcionando una sujeción firme entre los módulos.","","","","","","","","","","","","","","","","5000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","simple","IC35-PSC","Inter Clamp 35mm - PROCET SCIENTIFIC","","","","","Abrazadera intermedia de 35mm para paneles solares, proporcionando una sujeción firme entre los módulos.","","","","","","","","","","","","","","","","5100","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","simple","AR-PSC","Acople de Riel - PROCET SCIENTIFIC","","","","","onector para unir rieles en instalaciones solares, proporcionando una alineación precisa y resistencia estructural.","","","","","","","","","","","","","","","","18150","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","simple","RP-PSC","Riel Para Montaje de Paneles Solares - PROCET SCIENTIFIC","","","","","Riel de alta calidad diseñado para el montaje seguro y eficiente de paneles solares en diversas configuraciones.","","","","","","","","","","","","","","","","163789","","","","","","","","","","","","","","","","","","","","","","","","","",""
